Parameter	Type	Unit	Description	Sources
can.threshing.drum.excessive.clearance.status	boolean	N/A	Excessive clearance under the threshing drum, read from CAN	AVL ID 520
can.threshing.status	boolean	N/A	Threshing is active status, read from CAN	AVL ID 520
can.throttle.pedal.level	number	percentage	Throttle pedal push level read from CAN	AVL ID 1196, AVL ID 31, AVL ID 41, AVL ID 540, AVL ID 815, AVL ID 82, AVL ID 84
can.time.since.codes.cleared	number	minutes	Time since trouble codes cleared	AVL ID 55
can.timing.advance	number	degrees	Ignition timing advance read from CAN	AVL ID 38
can.tire.failure.indicator.state	string	N/A	Vehicle parameter for tire failure/malfunction indicator read from CAN	AVL ID 10429
can.tire.pressure.low.status	boolean	N/A	Tire pressure low status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.torque.current	number	amperes	Torque current from CAN bus	AVL ID 1131
can.total.engine.idle.time	number	hours	Time of engine running in idling status (vehicle stopped) since vehicle manufacture, read from CAN	AVL ID 1181
can.tracker.counted.fuel.consumed	number	liters	Vehicle counted fuel consumed based on CAN-bus data	AVL ID 107
can.tracker.counted.mileage	number	km	CAN-bus mileage counted by tracker after plug in	AVL ID 105, AVL ID 16
can.trailer.axle.lift.status	boolean	N/A	Trailer axle lift status, read from CAN	AVL ID 518
can.trailer.brake.high.temperature.indicator.status	boolean	N/A	High trailer brake temperature indicator from CAN bus	AVL ID 519
can.trailer.connected.indicator.state	string	N/A	Vehicle parameter for trailer connected indicator read from CAN	AVL ID 10431
can.trailer.pneumatic.supply.incorrect.indicator.status	boolean	N/A	Incorrect trailer pneumatic supply indicator from CAN bus	AVL ID 519
can.trailer.tire.pressure.low.status	boolean	N/A	Low trailer tire pressure indicator from CAN bus	AVL ID 519
can.trailer.vin	string	N/A	Trailer VIN number, read from CAN	AVL ID 13671
can.trailer.wear.brake.lining.indicator.status	boolean	N/A	Wear of trailer brake lining indicator from CAN bus	AVL ID 519
can.transmission.failure.indicator.state	string	N/A	Vehicle parameter for transmission failure/malfunction indicator read from CAN	AVL ID 10429
can.transmission.fluid.temperature.indicator.state	string	N/A	Vehicle parameter for transmission fluid temperature indicator read from CAN	AVL ID 10429
can.transmission.oil.temperature	number	celsius	Transmission oil temperature reaed from CAN	AVL ID 1199
can.trip.fuel.consumed	number	liters	Volume of liquid fuel consumed during the trip, read from CAN	AVL ID 1192
can.trip.vehicle.mileage	number	km	Distance travelled during all or part of a journey	AVL ID 1186, AVL ID 989
can.trunk.opening.remote.event	boolean	N/A	Trunk was opened with remote control event, read from CAN	AVL ID 517, AVL ID 923
can.trunk.status	boolean	N/A	CAN trunk is opened	AVL ID 132, AVL ID 143, AVL ID 47, AVL ID 517, AVL ID 658, AVL ID 90
can.turn.signals.indicator.state	string	N/A	Vehicle parameter for turn signals indicator read from CAN	AVL ID 10428
can.unloader.drive.status	boolean	N/A	Unloader drive is on; unloading tube pivot is in idle position, read from CAN	AVL ID 520
can.vehicle.battery.charging.status	boolean	N/A	Vehicle battery charging status get from CAN Bus	AVL ID 132, AVL ID 410, AVL ID 47, AVL ID 517, AVL ID 915
can.vehicle.battery.current	number	amperes	Vehicle battery current, read from CAN	AVL ID 1113
can.vehicle.battery.energy.consumed	number	kWh	Energy consumed from the vehicle battery read from CAN	AVL ID 1155, AVL ID 1388
can.vehicle.battery.energy.recuperated	number	kWh	Recuperated energy into the vehicle battery read from CAN	AVL ID 1156
can.vehicle.battery.health	number	percentage	Battery State of Health	AVL ID 1151
can.vehicle.battery.level	number	percentage	CAN-bus reported vehicle battery level for EV or HEV	AVL ID 152, AVL ID 411
can.vehicle.battery.power	number	kW	Vehicle battery power read from CAN	AVL ID 1157
can.vehicle.battery.power.consumption	number	kWh/100km	Vehicle battery power consumption read from CAN	AVL ID 412
can.vehicle.battery.range	number	km	Vehicle Range on Battery, read from CAN	AVL ID 304
can.vehicle.battery.temperature	number	celsius	Battery pack temperature, read from CAN	AVL ID 1152
can.vehicle.battery.total.charge.energy	number	kWh	Vehicle battery charged total energy, read from CAN	AVL ID 1389
can.vehicle.battery.voltage	number	volts	Vehicle battery voltage, read from CAN	AVL ID 1112
can.vehicle.mileage	number	km	Total vehicle mileage read from CAN	AVL ID 105, AVL ID 1176, AVL ID 36, AVL ID 389, AVL ID 87, AVL ID 990
can.vehicle.motorhours	number	hours	Accumulated time of operation of vehicle	AVL ID 993
can.vehicle.remaining.range	number	km	Vehicle Range read, from CAN	AVL ID 305, AVL ID 755, AVL ID 866
can.vehicle.speed	number	km/h	Vehicle speed read from CAN	AVL ID 30, AVL ID 37, AVL ID 81, AVL ID 835
can.warning.indicator.status	boolean	N/A	Warning indicator status, read from CAN bus	AVL ID 123, AVL ID 38, AVL ID 519
can.washer.fluid.level.low.indicator.status	boolean	N/A	Low washer fluid level indicator, read from CAN bus	AVL ID 519
can.water.in.fuel.indicator.status	boolean	N/A	Water in fuel indicator from CAN bus	AVL ID 519
can.wear.brake.pads.indicator.status	boolean	N/A	Wear brake pads indicator status, read from CAN bus	AVL ID 123, AVL ID 38, AVL ID 519
can.webasto.status	boolean	N/A	Webasto status read from CAN bus	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 899
can.wheel.speed	number	km/h	Vehicle wheel based speed, read from CAN bus	AVL ID 1019, AVL ID 80
can.windscreen.washer.fluid.indicator.state	string	N/A	Vehicle parameter for windscreen/windshield washer fluid indicator read from CAN bus	AVL ID 10429
