Parameter	Type	Unit	Description	Sources
supersoco.powertrain.error	string	N/A	SuperSoco power traing error	AVL ID 869
supersoco.range	number	N/A	SuperSoco range	AVL ID 863
supersoco.temperature.high.status	boolean	N/A	SuperSoco high temperature status	AVL ID 860
supersoco.total.range	number	N/A	SuperSoco total range	AVL ID 866
supersoco.total.trip.range	number	N/A	SuperSoco total trip range	AVL ID 857
supersoco.upload.time	number	N/A	SuperSoco upload time	AVL ID 861
supersoco.voltage.low.status	boolean	N/A	SuperSoco low voltage status	AVL ID 859
tacho.data.source	string	N/A	Tacho data source	AVL ID 48
tacho.driver.card.code	string	N/A	Driver identification card id for tacho	AVL ID 147, AVL ID 148, AVL ID 149, AVL ID 150, AVL ID 195, AVL ID 196, AVL ID 197, AVL ID 198
tacho.driver.card.data.available.status	boolean	N/A	Tacho Driver card data availability	AVL ID 10538
tacho.driver.card.presence	number	N/A	Tacho driver card presence enum	AVL ID 120, AVL ID 121, AVL ID 187, AVL ID 188
tacho.driver.card.status	boolean	N/A	Tacho driver card status	AVL ID 120, AVL ID 121, AVL ID 136, AVL ID 187, AVL ID 188
tacho.driver.compensation.before.last.week.duration	number	seconds	Tacho Driver open compensation in week before last	AVL ID 10536
tacho.driver.compensation.last.week.duration	number	seconds	Tacho Driver open compensation in the last week	AVL ID 10535
tacho.driver.compensation.second.before.last.week.duration	number	seconds	Tacho Driver open compensation in 2nd week before last	AVL ID 10537
tacho.driver.continuous_driving.duration	number	seconds	Driver continuous driving time	AVL ID 139, AVL ID 140, AVL ID 56...57
tacho.driver.cumulative_break.duration	number	seconds	Driver cumulative break time	AVL ID 141, AVL ID 142, AVL ID 58...59
tacho.driver.cumulative_driving.duration	number	seconds	Driver cumulative driving time	AVL ID 145, AVL ID 146, AVL ID 69, AVL ID 77
tacho.driver.current.activity.duration	number	seconds	Current driver activity duration	AVL ID 143, AVL ID 144
tacho.driver.daily.before.rest.duration	number	seconds	Time left until new daily rest period read from Tacho, indexed for driver number	AVL ID 10509, AVL ID 10516
tacho.driver.daily.driving.duration	number	seconds	Current daily driving time read from Tacho, indexed for driver number	AVL ID 10507, AVL ID 10514
tacho.driver.daily.limit.exceed.number	number	N/A	Tacho Driver number of times 9h daily driving time exceeds	AVL ID 10510
tacho.driver.daily.minimum.rest.duration	number	seconds	Tacho Driver Minimum Daily Rest duration	AVL ID 10524, AVL ID 10525
tacho.driver.daily.rest.end.timestamp	number	N/A	Tacho Driver end of last daily rest report timestamp	AVL ID 10504, AVL ID 10511
tacho.drive.recognize.status	boolean	N/A	Tacho recognized vehicle drive	AVL ID 183
tacho.driver.multi.manning.status	boolean	N/A	Tacho Driver multi-manning detection status	AVL ID 10538
tacho.driver.next.driving.duration	number	seconds	Tacho Driver duration of next driving period	AVL ID 10541
tacho.driver.next.rest.duration	number	seconds	Duration of next rest period read from Tacho, indexed for driver number	AVL ID 10528, AVL ID 10529
tacho.driver.remaining.before.rest.duration	number	seconds	Duration remaining before next rest period read from Tacho, indexed for driver number	AVL ID 10530, AVL ID 10531
tacho.driver.remaining.current.driving.duration	number	seconds	Tacho Driver remaining current driving time	AVL ID 10532
tacho.driver.remaining.current.rest.duration	number	seconds	Tacho Driver remaining time of current break/rest	AVL ID 10539
tacho.driver.remaining.reduced.daily.rest.periods	number	N/A	Tacho Driver remaining reduced daily rest periods. Range 0 to 3	AVL ID 10538
tacho.driver.remaining.shift.driving.duration	number	seconds	Tacho Driver remaining driving time on current shift	AVL ID 10533
tacho.driver.remaining.ten.hour.driving.times	number	N/A	Tacho Driver remaining 10h driving times. Range 0 to 2	AVL ID 10538
tacho.driver.remaining.weekly.driving.duration	number	seconds	Tacho Driver remaining driving time of current week	AVL ID 10534
tacho.driver.selected.activity.duration	number	seconds	Indexed Tacho parameter indicating current duration of the selected activity, since selected and which may be the current driving period, availability period, rest period or work period	AVL ID 60...61
tacho.driver.time.before.warning	number	minutes	Tacho driver's hours rules pre warning time delay	AVL ID 10501
tacho.driver.time.overlap.status	boolean	N/A	Tacho Driver time overlap detection status	AVL ID 10538
tacho.driver.time.state	string	N/A	Tacho driver time related states	AVL ID 189...190
tacho.driver.time.state.enum	number	N/A	Tacho driver time related states	AVL ID 189...190
tacho.driver.time.until.next.driving	number	seconds	Tacho Driver time left until next driving period	AVL ID 10540
tacho.driver.unknown.periods.present.status	boolean	N/A	Tacho Driver unknown periods presence	AVL ID 10538
tacho.driver.weekly.before.rest.duration	number	seconds	Time left until new weekly rest period read from Tacho, indexed for driver number	AVL ID 10522, AVL ID 10523
tacho.driver.weekly.driving.duration	number	seconds	Current weekly driving time read from Tacho, indexed for driver number	AVL ID 10508, AVL ID 10515
tacho.driver.weekly.minimum.rest.duration	number	seconds	Tacho Driver Minimum Weekly Rest duration	AVL ID 10526, AVL ID 10527
tacho.driver.weekly.rest.calculation.status	boolean	N/A	Tacho Driver weekly rest period calculation status	AVL ID 10538
tacho.driver.weekly.rest.end.timestamp	number	N/A	Tacho Driver end of last weekly rest period timestamp	AVL ID 10505, AVL ID 10512
tacho.driver.weekly.second.rest.end.timestamp	number	N/A	Tacho Driver end of second last weekly rest period timestamp	AVL ID 10506, AVL ID 10513
tacho.driver.work.state	string	N/A	Protocol-specific driver work state name	AVL ID 115, AVL ID 116, AVL ID 184, AVL ID 185
tacho.driver.work.state.enum	number	N/A	Protocol-specific driver work state value	AVL ID 115, AVL ID 116, AVL ID 137, AVL ID 138, AVL ID 184, AVL ID 185
tacho.movement.status	boolean	N/A	Movement status reported by tacho	AVL ID 114
tacho.next.calibration.timestamp	number	N/A	Tacho next calibration timestamp	AVL ID 10503
tacho.out.of.scope.condition.status	boolean	N/A	Tacho out of scope condition is met. Indicates whether the vehicle is currently operating under an exemption from tachograph regulations.	AVL ID 10502
tacho.overspeeding.status	boolean	N/A	Overspeeding status reported by tacho	AVL ID 117, AVL ID 186
tacho.position.speed	number	km/h	Instant speed reported by tacho	AVL ID 126, AVL ID 135, AVL ID 191
tacho.timestamp	number	seconds	Time reported by tacho	AVL ID 194
tacho.trip.mileage	number	km	Trip mileage reported by tacho	AVL ID 193
tacho.vehicle.mileage	number	km	Total mileage calculated by tacho	AVL ID 133, AVL ID 192
tamper.alarm	boolean	N/A	Tamper alarm event	AVL ID 520
tamper.alarm.state	string	N/A	Tamper record event reason	AVL ID 20019
tamper.alarm.state.enum	number	N/A	Tamper record event numeric reason	AVL ID 20019
timestamp	number	seconds	Message timestamp	Command type 0x06, Command type 0x10
top.case.status	boolean	N/A	Top case opened status: true - opened, false - closed	AVL ID 844
total.driving.time	number	seconds	Total riding time	AVL ID 359
total.mileage	number	km	Total mileage	AVL ID 112
total.operate.time	number	seconds	Total operation time	AVL ID 358
total.vehicle.weight	number	kg	Total vehicle weight	AVL ID 139
towing.alarm.status	boolean	N/A	Towing alarm state	AVL ID 246
trailer.abs.state.enum	number	N/A	Trailer ABS Status	AVL ID 13653
trailer.amber.warning.request.state.enum	number	N/A	Amber warning request status	AVL ID 13656
trailer.automatic.towed.vehicle.braking.state.enum	number	N/A	Automatic towed vehicle braking status	AVL ID 13805
trailer.axle.load.sum	number	kg	Sum of all axle loads	AVL ID 13657
trailer.brake.lining.axle.1.wheel.10.level	number	percentage	Brake lining level for axle 1 wheel 10	AVL ID 13733
trailer.brake.lining.axle.1.wheel.10.state.enum	number	N/A	Brake lining status for axle 1 wheel 10	AVL ID 13718
trailer.brake.lining.axle.1.wheel.6.level	number	percentage	Brake lining level for axle 1 wheel 6	AVL ID 13729
trailer.brake.lining.axle.1.wheel.6.state.enum	number	N/A	Brake lining status for axle 1 wheel 6	AVL ID 13714
trailer.brake.lining.axle.1.wheel.7.level	number	percentage	Brake lining level for axle 1 wheel 7	AVL ID 13730
trailer.brake.lining.axle.1.wheel.7.state.enum	number	N/A	Brake lining status for axle 1 wheel 7	AVL ID 13715
trailer.brake.lining.axle.1.wheel.8.level	number	percentage	Brake lining level for axle 1 wheel 8	AVL ID 13731
trailer.brake.lining.axle.1.wheel.8.state.enum	number	N/A	Brake lining status for axle 1 wheel 8	AVL ID 13716
trailer.brake.lining.axle.1.wheel.9.level	number	percentage	Brake lining level for axle 1 wheel 9	AVL ID 13732
trailer.brake.lining.axle.1.wheel.9.state.enum	number	N/A	Brake lining status for axle 1 wheel 9	AVL ID 13717
trailer.brake.lining.axle.2.wheel.10.level	number	percentage	Brake lining level for axle 2 wheel 10	AVL ID 13738
trailer.brake.lining.axle.2.wheel.10.state.enum	number	N/A	Brake lining status for axle 2 wheel 10	AVL ID 13723
trailer.brake.lining.axle.2.wheel.6.level	number	percentage	Brake lining level for axle 2 wheel 6	AVL ID 13734
trailer.brake.lining.axle.2.wheel.6.state.enum	number	N/A	Brake lining status for axle 2 wheel 6	AVL ID 13719
trailer.brake.lining.axle.2.wheel.7.level	number	percentage	Brake lining level for axle 2 wheel 7	AVL ID 13735
trailer.brake.lining.axle.2.wheel.7.state.enum	number	N/A	Brake lining status for axle 2 wheel 7	AVL ID 13720
trailer.brake.lining.axle.2.wheel.8.level	number	percentage	Brake lining level for axle 2 wheel 8	AVL ID 13736
trailer.brake.lining.axle.2.wheel.8.state.enum	number	N/A	Brake lining status for axle 2 wheel 8	AVL ID 13721
trailer.brake.lining.axle.2.wheel.9.level	number	percentage	Brake lining level for axle 2 wheel 9	AVL ID 13737
trailer.brake.lining.axle.2.wheel.9.state.enum	number	N/A	Brake lining status for axle 2 wheel 9	AVL ID 13722
trailer.brake.lining.axle.3.wheel.10.level	number	percentage	Brake lining level for axle 3 wheel 10	AVL ID 13743
trailer.brake.lining.axle.3.wheel.10.state.enum	number	N/A	Brake lining status for axle 3 wheel 10	AVL ID 13728
trailer.brake.lining.axle.3.wheel.6.level	number	percentage	Brake lining level for axle 3 wheel 6	AVL ID 13739
trailer.brake.lining.axle.3.wheel.6.state.enum	number	N/A	Brake lining status for axle 3 wheel 6	AVL ID 13724
trailer.brake.lining.axle.3.wheel.7.level	number	percentage	Brake lining level for axle 3 wheel 7	AVL ID 13740
trailer.brake.lining.axle.3.wheel.7.state.enum	number	N/A	Brake lining status for axle 3 wheel 7	AVL ID 13725
trailer.brake.lining.axle.3.wheel.8.level	number	percentage	Brake lining level for axle 3 wheel 8	AVL ID 13741
trailer.brake.lining.axle.3.wheel.8.state.enum	number	N/A	Brake lining status for axle 3 wheel 8	AVL ID 13726
trailer.brake.lining.axle.3.wheel.9.level	number	percentage	Brake lining level for axle 3 wheel 9	AVL ID 13742
trailer.brake.lining.axle.3.wheel.9.state.enum	number	N/A	Brake lining status for axle 3 wheel 9	AVL ID 13727
trailer.brake.temperature.axle.1.wheel.10	number	celsius	Brake temperature for axle 1 wheel 10	AVL ID 13763
trailer.brake.temperature.axle.1.wheel.10.state.enum	number	N/A	Brake temperature status for axle 1 wheel 10	AVL ID 13748
trailer.brake.temperature.axle.1.wheel.6	number	celsius	Brake temperature for axle 1 wheel 6	AVL ID 13759
trailer.brake.temperature.axle.1.wheel.6.state.enum	number	N/A	Brake temperature status for axle 1 wheel 6	AVL ID 13744
trailer.brake.temperature.axle.1.wheel.7	number	celsius	Brake temperature for axle 1 wheel 7	AVL ID 13760
trailer.brake.temperature.axle.1.wheel.7.state.enum	number	N/A	Brake temperature status for axle 1 wheel 7	AVL ID 13745
trailer.brake.temperature.axle.1.wheel.8	number	celsius	Brake temperature for axle 1 wheel 8	AVL ID 13761
trailer.brake.temperature.axle.1.wheel.8.state.enum	number	N/A	Brake temperature status for axle 1 wheel 8	AVL ID 13746
trailer.brake.temperature.axle.1.wheel.9	number	celsius	Brake temperature for axle 1 wheel 9	AVL ID 13762
trailer.brake.temperature.axle.1.wheel.9.state.enum	number	N/A	Brake temperature status for axle 1 wheel 9	AVL ID 13747
trailer.brake.temperature.axle.2.wheel.10	number	celsius	Brake temperature for axle 2 wheel 10	AVL ID 13768
trailer.brake.temperature.axle.2.wheel.10.state.enum	number	N/A	Brake temperature status for axle 2 wheel 10	AVL ID 13753
trailer.brake.temperature.axle.2.wheel.6	number	celsius	Brake temperature for axle 2 wheel 6	AVL ID 13764
trailer.brake.temperature.axle.2.wheel.6.state.enum	number	N/A	Brake temperature status for axle 2 wheel 6	AVL ID 13749
trailer.brake.temperature.axle.2.wheel.7	number	celsius	Brake temperature for axle 2 wheel 7	AVL ID 13765
trailer.brake.temperature.axle.2.wheel.7.state.enum	number	N/A	Brake temperature status for axle 2 wheel 7	AVL ID 13750
trailer.brake.temperature.axle.2.wheel.8	number	celsius	Brake temperature for axle 2 wheel 8	AVL ID 13766
trailer.brake.temperature.axle.2.wheel.8.state.enum	number	N/A	Brake temperature status for axle 2 wheel 8	AVL ID 13751
trailer.brake.temperature.axle.2.wheel.9	number	celsius	Brake temperature for axle 2 wheel 9	AVL ID 13767
trailer.brake.temperature.axle.2.wheel.9.state.enum	number	N/A	Brake temperature status for axle 2 wheel 9	AVL ID 13752
trailer.brake.temperature.axle.3.wheel.10	number	celsius	Brake temperature for axle 3 wheel 10	AVL ID 13773
trailer.brake.temperature.axle.3.wheel.10.state.enum	number	N/A	Brake temperature status for axle 3 wheel 10	AVL ID 13758
trailer.brake.temperature.axle.3.wheel.6	number	celsius	Brake temperature for axle 3 wheel 6	AVL ID 13769
trailer.brake.temperature.axle.3.wheel.6.state.enum	number	N/A	Brake temperature status for axle 3 wheel 6	AVL ID 13754
trailer.brake.temperature.axle.3.wheel.7	number	celsius	Brake temperature for axle 3 wheel 7	AVL ID 13770
trailer.brake.temperature.axle.3.wheel.7.state.enum	number	N/A	Brake temperature status for axle 3 wheel 7	AVL ID 13755
trailer.brake.temperature.axle.3.wheel.8	number	celsius	Brake temperature for axle 3 wheel 8	AVL ID 13771
trailer.brake.temperature.axle.3.wheel.8.state.enum	number	N/A	Brake temperature status for axle 3 wheel 8	AVL ID 13756
trailer.brake.temperature.axle.3.wheel.9	number	celsius	Brake temperature for axle 3 wheel 9	AVL ID 13772
trailer.brake.temperature.axle.3.wheel.9.state.enum	number	N/A	Brake temperature status for axle 3 wheel 9	AVL ID 13757
trailer.braking.cylinder.pressure.axle.1.left	number	kPa	Braking cylinder pressure for axle 1 left side	AVL ID 13665
trailer.braking.cylinder.pressure.axle.1.right	number	kPa	Braking cylinder pressure for axle 1 right side	AVL ID 13666
trailer.braking.cylinder.pressure.axle.2.left	number	kPa	Braking cylinder pressure for axle 2 left side	AVL ID 13667
trailer.braking.cylinder.pressure.axle.2.right	number	kPa	Braking cylinder pressure for axle 2 right side	AVL ID 13668
trailer.braking.cylinder.pressure.axle.3.left	number	kPa	Braking cylinder pressure for axle 3 left side	AVL ID 13669
trailer.braking.cylinder.pressure.axle.3.right	number	kPa	Braking cylinder pressure for axle 3 right side	AVL ID 13670
trailer.braking.electric.control.line.support.state.enum	number	N/A	Braking via electric control line support status	AVL ID 13677
trailer.calibration.load.level.state.enum	number	N/A	Calibration load level status	AVL ID 13664
trailer.ebs.vehicle.speed	number	km/h	Vehicle speed from EBS (Electronic Braking System)	AVL ID 13652
trailer.electric.load.proportional.function.installation.state.enum	number	N/A	Electrical load proportional function installation status	AVL ID 13808
trailer.electric.supply.non.braking.systems.state.enum	number	N/A	Electrical supply of non-braking systems status	AVL ID 13806
trailer.lift.axle.1.position.state.enum	number	N/A	Lift axle 1 position status	AVL ID 13681
trailer.lift.axle.2.position.state.enum	number	N/A	Lift axle 2 position status	AVL ID 13682
trailer.loading.ramp.approach.assistance.state.enum	number	N/A	Loading ramp approach assistance status	AVL ID 13674
trailer.pneumatic.supply.pressure	number	kPa	Trailer pneumatic supply pressure	AVL ID 13810
trailer.pneumatic.supply.state.enum	number	N/A	Vehicle pneumatic supply status	AVL ID 13774
trailer.power.state.enum	number	N/A	Vehicle electrical supply status	AVL ID 13660
trailer.red.warning.request.state.enum	number	N/A	Red warning request status	AVL ID 13655
trailer.retarder.control.state.enum	number	N/A	Retarder control status	AVL ID 13654
trailer.retarder.wheel.torque.load	number	percentage	Retarder wheel torque	AVL ID 13658
trailer.scale.axle.load	number	kg	Scale axle load measurement	AVL ID 13663
trailer.spring.brake.installation.state.enum	number	N/A	Spring brake installation status	AVL ID 13807
trailer.steering.axle.locking.state.enum	number	N/A	Steering axle locking status	AVL ID 13683
trailer.tire.pressure.axle.1.wheel.10	number	kPa	Tire pressure for axle 1 wheel 10	AVL ID 13703
trailer.tire.pressure.axle.1.wheel.6	number	kPa	Tire pressure for axle 1 wheel 6	AVL ID 13699
trailer.tire.pressure.axle.1.wheel.7	number	kPa	Tire pressure for axle 1 wheel 7	AVL ID 13700
trailer.tire.pressure.axle.1.wheel.8	number	kPa	Tire pressure for axle 1 wheel 8	AVL ID 13701
trailer.tire.pressure.axle.1.wheel.9	number	kPa	Tire pressure for axle 1 wheel 9	AVL ID 13702
trailer.tire.pressure.axle.2.wheel.10	number	kPa	Tire pressure for axle 2 wheel 10	AVL ID 13708
trailer.tire.pressure.axle.2.wheel.6	number	kPa	Tire pressure for axle 2 wheel 6	AVL ID 13704
trailer.tire.pressure.axle.2.wheel.7	number	kPa	Tire pressure for axle 2 wheel 7	AVL ID 13705
trailer.tire.pressure.axle.2.wheel.8	number	kPa	Tire pressure for axle 2 wheel 8	AVL ID 13706
trailer.tire.pressure.axle.2.wheel.9	number	kPa	Tire pressure for axle 2 wheel 9	AVL ID 13707
trailer.tire.pressure.axle.3.wheel.10	number	kPa	Tire pressure for axle 3 wheel 10	AVL ID 13713
trailer.tire.pressure.axle.3.wheel.6	number	kPa	Tire pressure for axle 3 wheel 6	AVL ID 13709
trailer.tire.pressure.axle.3.wheel.7	number	kPa	Tire pressure for axle 3 wheel 7	AVL ID 13710
trailer.tire.pressure.axle.3.wheel.8	number	kPa	Tire pressure for axle 3 wheel 8	AVL ID 13711
trailer.tire.pressure.axle.3.wheel.9	number	kPa	Tire pressure for axle 3 wheel 9	AVL ID 13712
trailer.tire.pressure.state.axle.1.wheel.10.tire.enum	number	N/A	Tire pressure status for axle 1 wheel 10	AVL ID 13688
trailer.tire.pressure.state.axle.1.wheel.6.tire.enum	number	N/A	Tire pressure status for axle 1 wheel 6	AVL ID 13684
trailer.tire.pressure.state.axle.1.wheel.7.tire.enum	number	N/A	Tire pressure status for axle 1 wheel 7	AVL ID 13685
trailer.tire.pressure.state.axle.1.wheel.8.tire.enum	number	N/A	Tire pressure status for axle 1 wheel 8	AVL ID 13686
trailer.tire.pressure.state.axle.1.wheel.9.tire.enum	number	N/A	Tire pressure status for axle 1 wheel 9	AVL ID 13687
trailer.tire.pressure.state.axle.2.wheel.10.tire.enum	number	N/A	Tire pressure status for axle 2 wheel 10	AVL ID 13693
trailer.tire.pressure.state.axle.2.wheel.6.tire.enum	number	N/A	Tire pressure status for axle 2 wheel 6	AVL ID 13689
trailer.tire.pressure.state.axle.2.wheel.7.tire.enum	number	N/A	Tire pressure status for axle 2 wheel 7	AVL ID 13690
trailer.tire.pressure.state.axle.2.wheel.8.tire.enum	number	N/A	Tire pressure status for axle 2 wheel 8	AVL ID 13691
trailer.tire.pressure.state.axle.2.wheel.9.tire.enum	number	N/A	Tire pressure status for axle 2 wheel 9	AVL ID 13692
trailer.tire.pressure.state.axle.3.wheel.10.tire.enum	number	N/A	Tire pressure status for axle 3 wheel 10	AVL ID 13698
trailer.tire.pressure.state.axle.3.wheel.6.tire.enum	number	N/A	Tire pressure status for axle 3 wheel 6	AVL ID 13694
trailer.tire.pressure.state.axle.3.wheel.7.tire.enum	number	N/A	Tire pressure status for axle 3 wheel 7	AVL ID 13695
trailer.tire.pressure.state.axle.3.wheel.8.tire.enum	number	N/A	Tire pressure status for axle 3 wheel 8	AVL ID 13696
trailer.tire.pressure.state.axle.3.wheel.9.tire.enum	number	N/A	Tire pressure status for axle 3 wheel 9	AVL ID 13697
trailer.towing.state.enum	number	N/A	Towed vehicle detection status	AVL ID 13651
trailer.towing.vehicle.axle.load	number	kg	Towed vehicle axle load	AVL ID 13662
trailer.traction.help.state.enum	number	N/A	Traction help system status	AVL ID 13680
trailer.vehicle.service.brake.state.enum	number	N/A	Vehicle service brake status	AVL ID 13659
trailer.vehicle.type.enum	number	N/A	Vehicle type classification	AVL ID 13661
trailer.yc.system.state.enum	number	N/A	YC (Yaw Control) system status	AVL ID 13679
trip.average.speed	number	km/h	Average speed of the trip	AVL ID 369
trip.driving.time	number	seconds	Single riding time	AVL ID 361
trip.mileage	number	km	Distance driven since engine start	AVL ID 834
trip.operate.time	number	seconds	Single operation time	AVL ID 360
trip.state.enum	number	N/A	Trip status	AVL ID 250
trip.status	boolean	N/A	Trip status, true if trip started, false - if stopped	AVL ID 250
ultrasonic.fuel.level	number	mm	Indexed parameter for ultrasonic fuel level	AVL ID 224, AVL ID 225
ultrasonic.software.state.enum	number	N/A	Indexed parameter showing Ultrasonic Fuel sensor software status. 0 - Normal, 1 - The system has just started, output measurement value, 2 - Gas delay count, 3 - The measured value is invalid, 4 - The stationary state, 5 - No data received for 50-60 seconds, 9 - sudden drop, 10 - sudden rise, 11 - delay time of the sudden drop, 12 - delay time of the sudden rise, 13 - The stationary state, maintain the liquid level height value outputu changed, 15 - sudden drop/rise on an tilt	AVL ID 208, AVL ID 209
vehicle.mileage	number	km	Total calculated mileage	AVL ID 16, AVL ID 216, AVL ID 356, AVL ID 833
vehicle.registration.number	string	N/A	Vehicle registration number	AVL ID 231, AVL ID 232
vehicle.vin	string	N/A	VIN of vehicle	AVL ID 233, AVL ID 234, AVL ID 235, AVL ID 256, AVL ID 325
wifi.mac.address	string	N/A	WiFi MAC address	AVL ID 25036...25041
wifi.signal.strength	number	N/A	WiFi signal strength, RSSI	AVL ID 25036...25041
x.acceleration	number	g	Accelerometer value X	AVL ID 17, AVL ID 236
y.acceleration	number	g	Accelerometer value Y	AVL ID 18, AVL ID 237
z.acceleration	number	g	Accelerometer value Z	AVL ID 19, AVL ID 238
